Stanza,Verse
1,"Two roads diverged in a yellow wood,"
1,"And sorry I could not travel both"
1,"And be one traveler, long I stood"
1,"And looked down one as far as I could"
1,"To where it bent in the undergrowth"
2,"Then took the other, as just as fair"
2,"And having perhaps the better claim,"
2,"Because it was grassy and wanted wear"
2,"Though as for that, the passing there"
2,"Had worn them really about the same,"
3,"And both that morning equally lay,"
3,"In leaves no step had trodden back."
3,"Oh, I kept the first for another day!"
3,"Yet knowing how way leads on to way,"
3,"I doubted if I should ever come back."
4,"I shall be telling this with a sigh"
4,"Somewhere ages and ages hence:"
4,"Two roads diverged in a wood, and I --"
4,"I took the one less traveled by,"
4,"And that has made all the difference."
